# Generates two random numbers between -2**31 and 2**31 - 1. Randomly generates one of eight comparison operators and assigns that value to C
A[32] B[32] Op[4] Sa[5] C[32] V
1683530558	1165789729	9	0	0	0
1035508908	-2024119083	13	0	1	0
-1868230465	-506531483	15	0	1	0
-583963242	-1459818795	9	0	0	0
-1132459922	1384584737	12	0	-301523377	0
1827028718	751032663	12	0	1076225977	0
-139032915	1405112670	15	0	1	0
-443099891	1863200539	13	0	0	0
-1853671606	1721503602	13	0	0	0
-2071103974	606011942	8	0	67961346	0
2112158021	1243910410	13	0	1	0
-151643791	-1337914445	14	0	151577612	0
955373664	328176926	11	0	1	0
-840522640	-196442704	11	0	1	0
-1483106025	-253450872	9	0	0	0
1941941928	-2054086919	15	0	0	0
-1965270205	-53679329	11	0	1	0
-1116633484	1382745803	10	0	-8681729	0
-1405761431	986832913	8	0	672251905	0
137565672	-1807990107	15	0	0	0
-191375851	-926806577	14	0	52961312	0
944153350	-1299457342	11	0	1	0
1760866307	-1525669204	8	0	537927680	0
243367189	332379745	12	0	491703156	0
737798448	-1832473605	10	0	-1140855813	0
-904058055	1076847552	14	0	901813254	0
-1596231420	1094693858	11	0	1	0
-1170781968	-63951673	8	0	-1204811584	0
-1300764712	-1327793571	14	0	1291845666	0
1795016619	-1046695177	11	0	1	0
850738295	1086529584	10	0	1928805495	0
744924001	1531727494	11	0	1	0
483572070	-1343091853	10	0	-1074611337	0
1628469370	-375889319	9	0	0	0
356016960	-1009550477	9	0	0	0
-1952375022	-1810122063	10	0	-1615085645	0
-596936398	1959795372	9	0	0	0
-1454422567	912969908	12	0	-1624926867	0
356157498	-1936948810	9	0	0	0
-965721567	-663913135	9	0	0	0
-1229908508	1853814962	14	0	16777737	0
237759359	-1708114558	11	0	1	0
-1705291592	-1903413928	11	0	1	0
1415966638	1025593551	10	0	2103836655	0
455211286	917435785	11	0	1	0
-1325837272	101287035	11	0	1	0
-1646652047	617598063	13	0	0	0
849606662	1707441375	8	0	545355782	0
-156514228	-1823436092	8	0	-1845460924	0
-1562087933	-995937743	12	0	1715952690	0
-1173566868	426379858	13	0	0	0
1778863201	1302067326	10	0	1872755839	0
-111839015	-1879396620	10	0	-259	0
1866214225	370655917	10	0	2134895613	0
1566141754	1206664253	10	0	1610448191	0
678810074	-1413874836	10	0	-1409418242	0
